Your task is to predict the next location for an individual based on this individual's mobility trajectory.
Each record: day_of_week, start_time, end_time, location_id

=== Mobility History ===
Tuesday, 05:00, 20:00, 250214412041
Tuesday, 20:15, 20:15, 250214421014
Tuesday, 20:30, 23:45, 250214412041
Tuesday, 05:00, 18:15, 250214412041
Tuesday, 18:30, 18:30, 250277442003
Tuesday, 18:45, 18:45, 250277612001
Tuesday, 19:00, 19:00, 250173201031
Tuesday, 19:15, 19:45, 250214421022
Tuesday, 20:00, 20:15, 250214421014
Tuesday, 20:30, 23:45, 250214412041
Friday, 05:00, 17:15, 250214412041
Friday, 17:30, 17:30, 250214091022
Friday, 17:45, 18:00, 250214412041
Friday, 18:15, 18:15, 250214421024
Friday, 18:30, 18:30, 250173214002
Friday, 18:45, 22:00, 250277171002
Friday, 22:15, 22:15, 250173214001
Friday, 22:30, 22:30, 250214431011
Friday, 22:45, 23:45, 250214412041
Tuesday, 05:00, 18:30, 250214412041
Tuesday, 18:45, 19:00, 250214422024
Tuesday, 19:15, 23:45, 250214412041
Friday, 05:00, 07:15, 250214412041
Friday, 07:30, 07:30, 250214091022
Friday, 07:45, 07:45, 250214422012
Friday, 08:00, 08:00, 440070185002
Friday, 08:15, 08:15, 440070114031
Friday, 08:30, 17:45, 440070185002
Friday, 18:00, 18:00, 440070114015
Friday, 18:15, 18:15, 250214412042
Friday, 18:30, 23:45, 250214412041
Thursday, 05:00, 15:15, 250214412041
Thursday, 15:30, 15:30, 250214412042
Thursday, 15:45, 15:45, 250214422024
Thursday, 16:00, 19:45, 250214412041
Thursday, 20:00, 20:00, 250214421013
Thursday, 20:15, 23:45, 250214412041
Tuesday, 05:00, 23:45, 250214412041
Friday, 05:00, 11:30, 250214412041
Friday, 11:45, 11:45, 250214412042
Friday, 12:00, 12:30, 250214421021
Friday, 12:45, 12:45, 250214422021
Friday, 13:00, 13:30, 250214421022
Friday, 13:45, 13:45, 250214422022
Friday, 14:00, 16:00, 250214412041
Friday, 16:15, 16:15, 250214141003
Friday, 16:30, 16:30, 250214202021
Friday, 16:45, 16:45, 250251007002
Friday, 17:00, 17:00, 250250711013
Friday, 17:15, 17:45, 250250106002
Friday, 18:00, 18:00, 250250106001
Friday, 18:15, 18:30, 250250106002
Friday, 18:45, 21:30, 250250106001
Friday, 21:45, 21:45, 250250106002
Friday, 22:00, 22:15, 250250106001
Friday, 22:30, 23:45, 250250106002
Monday, 05:00, 07:15, 250214412041
Monday, 07:30, 07:30, 250214091022
Monday, 07:45, 07:45, 250214422011
Monday, 08:00, 08:00, 440070185002
Monday, 08:15, 08:15, 440070114031
Monday, 08:30, 17:15, 440070185002
Monday, 17:30, 17:30, 440070114031
Monday, 17:45, 17:45, 440070114021
Monday, 18:00, 23:45, 250214412041
Wednesday, 05:00, 06:00, 250214412041
Wednesday, 06:15, 06:15, 250214422022
Wednesday, 06:30, 06:30, 250173201031
Wednesday, 06:45, 06:45, 250277361001
Wednesday, 07:00, 07:00, 250277581011
Wednesday, 07:15, 07:15, 90135331014
Wednesday, 07:30, 07:30, 90035102002
Wednesday, 07:45, 17:15, 90035246004
Wednesday, 17:30, 17:30, 90035151021
Wednesday, 17:45, 17:45, 90138401005
Wednesday, 18:00, 18:00, 250277581021
Wednesday, 18:15, 18:15, 250277373003
Wednesday, 18:30, 18:30, 250277441011
Wednesday, 18:45, 18:45, 250214412042
Wednesday, 19:00, 23:45, 250214412041
Monday, 05:00, 07:15, 250214412041
Monday, 07:30, 07:30, 250214091022
Monday, 07:45, 07:45, 250214412032
Monday, 08:00, 08:15, 440070114031
Monday, 08:30, 17:30, 440070185002
Monday, 17:45, 17:45, 440070114022
Monday, 18:00, 18:00, 250214412042
Monday, 18:15, 23:45, 250214412041
Thursday, 05:00, 23:45, 250214412041
Monday, 05:00, 23:45, 250214412041
Monday, 05:00, 07:30, 250214412041
Monday, 07:45, 07:45, 250214422023
Monday, 08:00, 08:00, 440070184004
Monday, 08:15, 08:15, 440070114031
Monday, 08:30, 17:30, 440070185002
Monday, 17:45, 17:45, 440070114022
Monday, 18:00, 18:00, 250214412042
Monday, 18:15, 23:45, 250214412041
Wednesday, 05:00, 07:15, 250214412041
Wednesday, 07:30, 07:30, 250214091022
Wednesday, 07:45, 07:45, 250214422024
Wednesday, 08:00, 08:00, 440070184001
Wednesday, 08:15, 08:30, 440070114031
Wednesday, 08:45, 17:30, 440070185002
Wednesday, 17:45, 17:45, 440070114022
Wednesday, 18:00, 18:00, 250214412032
Wednesday, 18:15, 23:45, 250214412041
Wednesday, 05:00, 23:45, 250214412041
Friday, 05:00, 17:00, 250214412041
Friday, 17:15, 17:15, 250214091022
Friday, 17:30, 17:30, 250214091021
Friday, 17:45, 23:45, 250214412041
Thursday, 05:00, 15:15, 250214412041
Thursday, 15:30, 15:30, 250214422022
Thursday, 15:45, 23:45, 250214412041
Thursday, 05:00, 20:00, 250214412041
Thursday, 20:15, 20:15, 250214422024
Thursday, 20:30, 23:45, 250214412041
Friday, 05:00, 17:15, 250214412041
Friday, 17:30, 17:30, 250214091022
Friday, 17:45, 17:45, 250214421021
Friday, 18:00, 18:00, 250277612001
