Index,Quant,Dry run OK,Return code,Compare OK,Token type OK,Output type OK,Missing tensors,Mismatched tensors,Error
0,UD-IQ1_M,True,0,True,True,True,"ffn_up_exps,ffn_gate_exps,ffn_gate_shexp,ffn_up_shexp,ffn_down_shexp,ffn_latent_up,ffn_latent_down,ssm_out,ssm_in,ssm_alpha,ssm_beta,ssm_conv1d,ssm_d,inp_shexp,attn_qkv,attn_gate,attn_q_a,attn_q_b,attn_k_b,attn_kv_a_mqa,attn_v_b",,
1,UD-IQ2_XXS,True,0,True,True,True,"ffn_up_exps,ffn_gate_exps,ffn_gate_shexp,ffn_up_shexp,ffn_down_shexp,ffn_latent_up,ffn_latent_down,ssm_out,ssm_in,ssm_alpha,ssm_beta,ssm_conv1d,ssm_d,inp_shexp,attn_qkv,attn_gate,attn_q_a,attn_q_b,attn_k_b,attn_kv_a_mqa,attn_v_b",,
2,UD-IQ2_M,True,0,True,True,True,"ffn_up_exps,ffn_gate_exps,ffn_gate_shexp,ffn_up_shexp,ffn_down_shexp,ffn_latent_up,ffn_latent_down,ssm_out,ssm_in,ssm_alpha,ssm_beta,ssm_conv1d,ssm_d,inp_shexp,attn_qkv,attn_gate,attn_q_a,attn_q_b,attn_k_b,attn_kv_a_mqa,attn_v_b",,
3,UD-Q2_K_XL,True,0,True,True,True,"ffn_up_exps,ffn_gate_exps,ffn_gate_shexp,ffn_up_shexp,ffn_down_shexp,ffn_latent_up,ffn_latent_down,ssm_out,ssm_in,ssm_alpha,ssm_beta,ssm_conv1d,ssm_d,inp_shexp,attn_qkv,attn_gate,attn_q_a,attn_q_b,attn_k_b,attn_kv_a_mqa,attn_v_b",,
4,UD-IQ3_XXS,True,0,True,True,True,"ffn_up_exps,ffn_gate_exps,ffn_gate_shexp,ffn_up_shexp,ffn_down_shexp,ffn_latent_up,ffn_latent_down,ssm_out,ssm_in,ssm_alpha,ssm_beta,ssm_conv1d,ssm_d,inp_shexp,attn_qkv,attn_gate,attn_q_a,attn_q_b,attn_k_b,attn_kv_a_mqa,attn_v_b",,
5,UD-IQ3_S,True,0,True,True,True,"ffn_up_exps,ffn_gate_exps,ffn_gate_shexp,ffn_up_shexp,ffn_down_shexp,ffn_latent_up,ffn_latent_down,ssm_out,ssm_in,ssm_alpha,ssm_beta,ssm_conv1d,ssm_d,inp_shexp,attn_qkv,attn_gate,attn_q_a,attn_q_b,attn_k_b,attn_kv_a_mqa,attn_v_b",,
6,UD-Q3_K_M,True,0,,,,,,
7,UD-Q3_K_S,True,0,,,,,,
8,UD-Q3_K_XL,True,0,True,True,True,"ffn_up_exps,ffn_gate_exps,ffn_gate_shexp,ffn_up_shexp,ffn_down_shexp,ffn_latent_up,ffn_latent_down,ssm_out,ssm_in,ssm_alpha,ssm_beta,ssm_conv1d,ssm_d,inp_shexp,attn_qkv,attn_gate,attn_q_a,attn_q_b,attn_k_b,attn_kv_a_mqa,attn_v_b",,
9,UD-IQ4_XS,True,0,True,True,True,"ffn_up_exps,ffn_gate_exps,ffn_gate_shexp,ffn_up_shexp,ffn_down_shexp,ffn_latent_up,ffn_latent_down,ssm_out,ssm_in,ssm_alpha,ssm_beta,ssm_conv1d,ssm_d,inp_shexp,attn_qkv,attn_gate,attn_q_a,attn_q_b,attn_k_b,attn_kv_a_mqa,attn_v_b",,
10,UD-Q4_K_S,True,0,,,,,,
11,UD-Q4_K_M,True,0,,,,,,
